question_id,module_id,topic_id,concept_tag,question_family,question_text,n_options,answer_option_issue_count,answer_option_issues,duplicate_option_text,correct_choice_id_not_in_options,z_score_outside_module_5_or_review,placeholder_or_internal_wording,visual_required,visual_template_id,reviewed_status
module_1_mean_median_skew_visual_001,module_1,descriptive_stats,resistant_measures,mean_median_skew_visual,"Use the visual aid. In a right-skewed distribution with a few very large values, which measure of center usually stays closer to the typical case?",4,0,,False,False,False,False,True,mean_vs_median_skew,audited
module_1_boxplot_visual_001,module_1,descriptive_stats,outliers_boxplots,boxplot_visual,Use the visual aid. What feature of the boxplot marks observations that fall far from the main cluster?,4,0,,False,False,False,False,True,outlier_boxplot,audited
module_2_scatterplot_direction_001,module_2,relationships_regression,association_direction,scatterplot_direction,A scatterplot compares hours studied and exam score. Which pattern would best describe the expected association?,4,0,,False,False,False,False,False,,audited
module_2_scatterplot_direction_002,module_2,relationships_regression,association_direction,scatterplot_direction,A scatterplot compares outside temperature and heating bill. Which pattern would best describe the expected association?,4,0,,False,False,False,False,False,,audited
module_2_scatterplot_direction_003,module_2,relationships_regression,association_direction,scatterplot_direction,A scatterplot compares shoe size and favorite movie genre. Which pattern would best describe the expected association?,4,0,,False,False,False,False,False,,audited
module_2_scatterplot_direction_004,module_2,relationships_regression,association_direction,scatterplot_direction,A scatterplot compares car weight and fuel economy. Which pattern would best describe the expected association?,4,0,,False,False,False,False,False,,audited
module_2_scatterplot_direction_005,module_2,relationships_regression,association_direction,scatterplot_direction,A scatterplot compares advertising spending and sales. Which pattern would best describe the expected association?,4,0,,False,False,False,False,False,,audited
module_2_scatterplot_visual_001,module_2,relationships_regression,correlation_interpretation,scatterplot_visual,Use the visual aid. The points rise from left to right in an approximately linear pattern. What does this suggest?,4,0,,False,False,False,False,True,scatterplot_association,audited
module_2_correlation_properties_001,module_2,relationships_regression,correlation_facts,correlation_properties,Which value of r shows the strongest linear association?,4,0,,False,False,False,False,False,,audited
module_2_correlation_properties_002,module_2,relationships_regression,correlation_facts,correlation_properties,Which statement about correlation is correct?,4,0,,False,False,False,False,False,,audited
module_2_correlation_properties_003,module_2,relationships_regression,correlation_facts,correlation_properties,What happens to correlation if both variables are converted from inches to centimeters?,4,0,,False,False,False,False,False,,audited
module_2_correlation_properties_004,module_2,relationships_regression,correlation_facts,correlation_properties,Which warning is most important when interpreting a strong correlation?,4,0,,False,False,False,False,False,,audited
module_2_regression_basics_001,module_2,relationships_regression,regression_interpretation,regression_basics,"In a regression equation ŷ = a + bx, what does the slope b describe?",4,0,,False,False,False,False,False,,audited
module_2_regression_basics_002,module_2,relationships_regression,regression_interpretation,regression_basics,What is a residual?,4,0,,False,False,False,False,False,,audited
module_2_regression_basics_003,module_2,relationships_regression,regression_interpretation,regression_basics,Which point is most likely influential in regression?,4,0,,False,False,False,False,False,,audited
module_2_regression_basics_004,module_2,relationships_regression,regression_interpretation,regression_basics,What does extrapolation mean?,4,0,,False,False,False,False,False,,audited
module_2_residual_visual_001,module_2,relationships_regression,residuals,residual_visual,Use the visual aid. The vertical gap from a point to the regression line represents what quantity?,4,0,,False,False,False,False,True,regression_residual_plot,audited
module_3_sampling_bias_001,module_3,producing_data,sampling_design,sampling_bias,Which sampling issue is illustrated by this situation: A newspaper invites readers to vote in an online poll?,4,0,,False,False,False,False,False,,audited
module_3_sampling_bias_002,module_3,producing_data,sampling_design,sampling_bias,Which sampling issue is illustrated by this situation: A student surveys friends in one dorm?,4,0,,False,False,False,False,False,,audited
module_3_sampling_bias_003,module_3,producing_data,sampling_design,sampling_bias,Which sampling issue is illustrated by this situation: A researcher randomly selects student ID numbers from the registrar list?,4,0,,False,False,False,False,False,,audited
module_3_sampling_bias_004,module_3,producing_data,sampling_design,sampling_bias,"Which sampling issue is illustrated by this situation: A survey question asks, “Do you agree with this obviously beneficial policy?”?",4,0,,False,False,False,False,False,,audited
module_3_study_design_type_001,module_3,producing_data,observational_vs_experiment,study_design_type,Which study design best describes this situation: Researchers assign patients by chance to a treatment or placebo?,4,0,,False,False,False,False,False,,audited
module_3_study_design_type_002,module_3,producing_data,observational_vs_experiment,study_design_type,Which study design best describes this situation: Researchers record existing exercise habits and later health outcomes?,4,0,,False,False,False,False,False,,audited
module_3_study_design_type_003,module_3,producing_data,observational_vs_experiment,study_design_type,Which study design best describes this situation: A sample survey asks selected adults about voting plans?,4,0,,False,False,False,False,False,,audited
module_3_experiment_visual_001,module_3,producing_data,experimental_design,experiment_visual,Use the visual aid. Why is random assignment used in a comparative experiment?,4,0,,False,False,False,False,True,experiment_randomization_diagram,audited
module_3_experiment_terms_001,module_3,producing_data,experimental_design,experiment_terms,What is the purpose of a control group in an experiment?,4,0,,False,False,False,False,False,,audited
module_3_experiment_terms_002,module_3,producing_data,experimental_design,experiment_terms,Why is a placebo used in some experiments?,4,0,,False,False,False,False,False,,audited
module_3_experiment_terms_003,module_3,producing_data,experimental_design,experiment_terms,What does double-blind mean?,4,0,,False,False,False,False,False,,audited
module_3_experiment_terms_004,module_3,producing_data,experimental_design,experiment_terms,What is blocking in experimental design?,4,0,,False,False,False,False,False,,audited
module_4_basic_probability_rules_001,module_4,probability_basics,probability_rules,basic_probability_rules,"If P(A)=0.30, what is P(not A)?",4,0,,False,False,False,False,False,,audited
module_4_basic_probability_rules_002,module_4,probability_basics,probability_rules,basic_probability_rules,"If two events are disjoint, what is P(A and B)?",4,0,,False,False,False,False,False,,audited
module_4_basic_probability_rules_003,module_4,probability_basics,probability_rules,basic_probability_rules,Which value cannot be a probability?,4,0,,False,False,False,False,False,,audited
module_4_basic_probability_rules_004,module_4,probability_basics,probability_rules,basic_probability_rules,"If A and B are independent, what does knowing A occurred do to P(B)?",4,0,,False,False,False,False,False,,audited
module_4_probability_vocabulary_001,module_4,probability_basics,probability_models,probability_vocabulary,"In probability language, what is rolling a fair die and observing the number of spots?",4,0,,False,False,False,False,False,,audited
module_4_probability_vocabulary_002,module_4,probability_basics,probability_models,probability_vocabulary,"In probability language, what is recording whether a randomly chosen student owns a car?",4,0,,False,False,False,False,False,,audited
module_4_probability_vocabulary_003,module_4,probability_basics,probability_models,probability_vocabulary,"In probability language, what is the list of all possible outcomes from flipping two coins?",4,0,,False,False,False,False,False,,audited
module_4_conditional_probability_001,module_4,probability_basics,conditional_independence,conditional_probability,A medical test has false positives. Which probability is conditional?,4,0,,False,False,False,False,False,,audited
module_4_conditional_probability_002,module_4,probability_basics,conditional_independence,conditional_probability,Which statement best describes independence?,4,0,,False,False,False,False,False,,audited
module_4_conditional_probability_003,module_4,probability_basics,conditional_independence,conditional_probability,Which rule is useful for “at least one”?,4,0,,False,False,False,False,False,,audited
module_5_z_scores_001,module_5,normal_dist,z_score_interpretation,z_scores,"A value is x = 85, the mean is 75, and the standard deviation is 5. What is the z-score?",4,0,,False,False,False,False,False,,audited
module_5_z_scores_002,module_5,normal_dist,z_score_interpretation,z_scores,"A value is x = 62, the mean is 70, and the standard deviation is 4. What is the z-score?",4,0,,False,False,False,False,False,,audited
module_5_z_scores_003,module_5,normal_dist,z_score_interpretation,z_scores,"A value is x = 108, the mean is 100, and the standard deviation is 8. What is the z-score?",4,0,,False,False,False,False,False,,audited
module_5_z_scores_004,module_5,normal_dist,z_score_interpretation,z_scores,"A value is x = 45, the mean is 50, and the standard deviation is 10. What is the z-score?",4,0,,False,False,False,False,False,,audited
module_5_z_score_position_001,module_5,normal_dist,z_score_interpretation,z_score_position,A z-score is best described as which type of summary?,4,0,,False,False,False,False,False,,audited
module_5_normal_curve_visual_001,module_5,normal_dist,normal_probability,normal_curve_visual,"Use the visual aid. On a standard Normal curve, what is the center of the distribution?",4,0,,False,False,False,False,True,standard_normal_curve,audited
module_5_normal_distribution_basics_001,module_5,normal_dist,empirical_rule_density,normal_distribution_basics,"By the 68-95-99.7 rule, about what percent of Normal observations fall within 1 standard deviation of the mean?",4,0,,False,False,False,False,False,,audited
module_5_normal_distribution_basics_002,module_5,normal_dist,empirical_rule_density,normal_distribution_basics,"By the 68-95-99.7 rule, about what percent fall within 2 standard deviations?",4,0,,False,False,False,False,False,,audited
module_5_normal_distribution_basics_003,module_5,normal_dist,empirical_rule_density,normal_distribution_basics,What does the total area under a density curve equal?,4,0,,False,False,False,False,False,,audited
module_5_normal_distribution_basics_004,module_5,normal_dist,empirical_rule_density,normal_distribution_basics,"For a Normal distribution, which pair of summaries determines the curve?",4,0,,False,False,False,False,False,,audited
module_5_binomial_terms_001,module_5,binomial_dist,binomial_setting,binomial_terms,"Which term best matches this description: Each trial is success/failure, trials are independent, n is fixed, and success probability is the same?",4,0,,False,False,False,False,False,,audited
module_5_binomial_terms_002,module_5,binomial_dist,binomial_setting,binomial_terms,Which term best matches this description: The number of successes in 12 independent trials with the same success probability?,4,0,,False,False,False,False,False,,audited
module_5_binomial_terms_003,module_5,binomial_dist,binomial_setting,binomial_terms,Which term best matches this description: The probability of exactly k successes in n independent trials?,4,0,,False,False,False,False,False,,audited
module_5_binomial_visual_001,module_5,binomial_dist,binomial_distribution,binomial_visual,"Use the visual aid. In a binomial distribution, each bar represents what?",4,0,,False,False,False,False,True,binomial_distribution_bars,audited
module_6_parameter_vs_statistic_001,module_6,sampling_dist,parameter_statistic,parameter_vs_statistic,A sample mean computed from data is a,4,0,,False,False,False,False,False,,audited
module_6_parameter_vs_statistic_002,module_6,sampling_dist,parameter_statistic,parameter_vs_statistic,A true population mean μ is a,4,0,,False,False,False,False,False,,audited
module_6_parameter_vs_statistic_003,module_6,sampling_dist,parameter_statistic,parameter_vs_statistic,The sample proportion p-hat is a,4,0,,False,False,False,False,False,,audited
module_6_parameter_vs_statistic_004,module_6,sampling_dist,parameter_statistic,parameter_vs_statistic,The hypothesized value p0 in a test is a,4,0,,False,False,False,False,False,,audited
module_6_sampling_distribution_concepts_001,module_6,sampling_dist,sampling_distribution,sampling_distribution_concepts,What does a sampling distribution describe?,4,0,,False,False,False,False,False,,audited
module_6_sampling_distribution_concepts_002,module_6,sampling_dist,sampling_distribution,sampling_distribution_concepts,What happens to the spread of the sampling distribution of a sample mean as n increases?,4,0,,False,False,False,False,False,,audited
module_6_sampling_distribution_concepts_003,module_6,sampling_dist,sampling_distribution,sampling_distribution_concepts,What does the law of large numbers say about a sample mean as n grows?,4,0,,False,False,False,False,False,,audited
module_6_sampling_distribution_concepts_004,module_6,sampling_dist,sampling_distribution,sampling_distribution_concepts,What does the central limit theorem say for large random samples?,4,0,,False,False,False,False,False,,audited
module_6_sampling_distribution_visual_001,module_6,sampling_dist,standard_error_sample_size,sampling_distribution_visual,Use the visual aid. What happens to the sampling distribution when sample size increases?,4,0,,False,False,False,False,True,sampling_distribution_clt,audited
module_7_confidence_interval_basics_001,module_7,ci_prop,ci_interpretation,confidence_interval_basics,What is the point estimate in a confidence interval for a population proportion?,4,0,,False,False,False,False,False,,audited
module_7_confidence_interval_basics_002,module_7,ci_prop,ci_interpretation,confidence_interval_basics,What does margin of error describe?,4,0,,False,False,False,False,False,,audited
module_7_confidence_interval_basics_003,module_7,ci_prop,ci_interpretation,confidence_interval_basics,A 95% confidence interval is best interpreted as,4,0,,False,False,False,False,False,,audited
module_7_confidence_interval_basics_004,module_7,ci_prop,ci_interpretation,confidence_interval_basics,Which change usually makes a confidence interval narrower?,4,0,,False,False,False,False,False,,audited
module_7_confidence_interval_basics_005,module_7,ci_prop,ci_interpretation,confidence_interval_basics,Which change usually makes a confidence interval wider?,4,0,,False,False,False,False,False,,audited
module_7_ci_visual_001,module_7,ci_mean,margin_of_error,ci_visual,"Use the visual aid. On a confidence interval number line, what does the distance from the estimate to an endpoint represent?",4,0,,False,False,False,False,True,confidence_interval_number_line,audited
module_7_ci_conditions_001,module_7,ci_mean,conditions_for_intervals,ci_conditions,"For a confidence interval about a mean when σ is unknown, which distribution is commonly used?",4,0,,False,False,False,False,False,,audited
module_7_ci_conditions_002,module_7,ci_mean,conditions_for_intervals,ci_conditions,Which condition matters for a one-sample t interval?,4,0,,False,False,False,False,False,,audited
module_7_ci_conditions_003,module_7,ci_mean,conditions_for_intervals,ci_conditions,"For a proportion interval, what kind of data are required?",4,0,,False,False,False,False,False,,audited
module_7_ci_conditions_004,module_7,ci_mean,conditions_for_intervals,ci_conditions,Why do conditions matter for confidence intervals?,4,0,,False,False,False,False,False,,audited
module_8_test_basics_001,module_8,ht_foundations,hypothesis_testing_foundations,test_basics,What does the null hypothesis usually represent?,4,0,,False,False,False,False,False,,audited
module_8_test_basics_002,module_8,ht_foundations,hypothesis_testing_foundations,test_basics,What does the alternative hypothesis represent?,4,0,,False,False,False,False,False,,audited
module_8_test_basics_003,module_8,ht_foundations,hypothesis_testing_foundations,test_basics,A p-value is,4,0,,False,False,False,False,False,,audited
module_8_test_basics_004,module_8,ht_foundations,hypothesis_testing_foundations,test_basics,Statistical significance means,4,0,,False,False,False,False,False,,audited
module_8_test_basics_005,module_8,ht_foundations,hypothesis_testing_foundations,test_basics,"If p-value = 0.03 and alpha = 0.05, the decision is",4,0,,False,False,False,False,False,,audited
module_8_pvalue_visual_001,module_8,ht_foundations,p_value_interpretation,pvalue_visual,"Use the visual aid. In a hypothesis test, the shaded tail area represents what?",4,0,,False,False,False,False,True,p_value_tail_area,audited
module_8_test_details_001,module_8,ht_prop,testing_errors_conditions,test_details,"For a one-proportion z test, which standard error uses p0?",4,0,,False,False,False,False,False,,audited
module_8_test_details_002,module_8,ht_mean,testing_errors_conditions,test_details,"For a one-sample t test, what parameter is tested?",4,0,,False,False,False,False,False,,audited
module_8_test_details_003,module_8,ht_mean,testing_errors_conditions,test_details,What does a two-sided alternative mean?,4,0,,False,False,False,False,False,,audited
module_8_test_details_004,module_8,ht_foundations,testing_errors_conditions,test_details,What is a Type I error?,4,0,,False,False,False,False,False,,audited
module_8_test_details_005,module_8,ht_foundations,testing_errors_conditions,test_details,What is a Type II error?,4,0,,False,False,False,False,False,,audited
module_9_uses_abuses_001,module_9,uses_abuses_tests,inference_cautions,uses_abuses,A result is statistically significant but the estimated effect is tiny. What should you check next?,4,0,,False,False,False,False,False,,audited
module_9_uses_abuses_002,module_9,uses_abuses_tests,inference_cautions,uses_abuses,Why can a very large sample make tiny differences statistically significant?,4,0,,False,False,False,False,False,,audited
module_9_uses_abuses_003,module_9,uses_abuses_tests,inference_cautions,uses_abuses,Which conclusion is too strong after failing to reject H0?,4,0,,False,False,False,False,False,,audited
module_9_uses_abuses_004,module_9,uses_abuses_tests,inference_cautions,uses_abuses,Why should we check conditions before inference?,4,0,,False,False,False,False,False,,audited
module_9_uses_abuses_005,module_9,uses_abuses_tests,inference_cautions,uses_abuses,Why is multiple testing a concern?,4,0,,False,False,False,False,False,,audited
module_9_boxplot_group_comparison_001,module_9,uses_abuses_tests,comparing_groups,boxplot_group_comparison,Use the visual aid. Why are side-by-side boxplots useful when comparing groups?,4,0,,False,False,False,False,True,comparing_groups_boxplots,audited
module_9_practice_cautions_001,module_9,uses_abuses_tests,statistical_thinking,practice_cautions,What is the best reason to avoid causal language from an observational study?,4,0,,False,False,False,False,False,,audited
module_9_practice_cautions_002,module_9,uses_abuses_tests,statistical_thinking,practice_cautions,What should a conclusion to a test include?,4,0,,False,False,False,False,False,,audited
module_9_practice_cautions_003,module_9,uses_abuses_tests,statistical_thinking,practice_cautions,What does robustness mean for a procedure?,4,0,,False,False,False,False,False,,audited
module_9_practice_cautions_004,module_9,uses_abuses_tests,statistical_thinking,practice_cautions,Why should data be plotted before formal inference?,4,0,,False,False,False,False,False,,audited
module_1_contextual_review_001,module_1,data_graphs,variable_classification,contextual_review,A survey records whether each student lives on campus or off campus.,4,0,,False,False,False,False,False,,audited
module_1_contextual_review_002,module_1,descriptive_stats,resistant_measures,contextual_review,A city income distribution has a few billionaire households. Which center better describes a typical household?,4,0,,False,False,False,False,False,,audited
module_2_contextual_review_001,module_2,relationships_regression,causation_lurking,contextual_review,Students with more tutoring hours have higher grades. What caution is needed?,4,0,,False,False,False,False,False,,audited
module_3_contextual_review_001,module_3,producing_data,sampling_bias,contextual_review,A radio host asks listeners to call in with opinions. What is the main problem?,4,0,,False,False,False,False,False,,audited
module_4_contextual_review_001,module_4,probability_basics,probability_rules,contextual_review,"If P(A or B) = P(A) + P(B), what must be true?",4,0,,False,False,False,False,False,,audited
module_5_contextual_review_001,module_5,normal_dist,z_score_interpretation,contextual_review,A z-score of -1.5 means what?,4,0,,False,False,False,False,False,,audited
module_5_contextual_review_002,module_5,binomial_dist,binomial_setting,contextual_review,A binomial count records what?,4,0,,False,False,False,False,False,,audited
module_6_contextual_review_001,module_6,sampling_dist,parameter_statistic,contextual_review,A poll reports p-hat = 0.54 from 800 sampled voters. What is p-hat?,4,0,,False,False,False,False,False,,audited
module_7_contextual_review_001,module_7,ci_prop,confidence_level,contextual_review,What does 95% confidence describe?,4,0,,False,False,False,False,False,,audited
module_8_contextual_review_001,module_8,ht_foundations,p_value_interpretation,contextual_review,A small p-value means what?,4,0,,False,False,False,False,False,,audited
module_9_contextual_review_001,module_9,uses_abuses_tests,statistical_vs_practical_significance,contextual_review,A treatment lowers average wait time by 2 seconds with p < 0.001. What else should be considered?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_001,module_1,descriptive_stats,center_spread,extra_context_practice,A biology class measures resting pulse rates and the histogram is roughly symmetric with no strong outliers. Which pair of summaries is most appropriate?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_002,module_1,descriptive_stats,skewness_outliers,extra_context_practice,"Apartment rents in a city have many moderate rents and a few extremely expensive luxury apartments. In this right-skewed setting, where is the mean usually located relative to the median?",4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_003,module_1,descriptive_stats,skewness_outliers,extra_context_practice,"Household wealth has a long right tail because a few households are extremely wealthy. In this right-skewed setting, where is the mean usually located relative to the median?",4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_004,module_1,descriptive_stats,center_spread,extra_context_practice,A statistics class records quiz scores and the distribution is roughly symmetric. Which pair of summaries is most appropriate?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_005,module_1,data_graphs,graph_selection,extra_context_practice,A professor records how many students chose each project topic. Which display should be used to compare counts across the categories?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_006,module_1,descriptive_stats,skewness_outliers,extra_context_practice,"Hospital stay lengths have many short stays and a few very long stays. In this right-skewed setting, where is the mean usually located relative to the median?",4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_007,module_1,data_graphs,graph_selection,extra_context_practice,A survey counts students by favorite coffee drink. Which display should be used to compare counts across the categories?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_008,module_1,data_graphs,graph_selection,extra_context_practice,A residence hall records how many students live on each floor. Which display should be used to compare counts across the categories?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_009,module_1,descriptive_stats,center_spread,extra_context_practice,A lab records plant heights with no obvious outliers and an approximately balanced shape. Which pair of summaries is most appropriate?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_010,module_1,data_graphs,graph_selection,extra_context_practice,A campus event records how many attendees came from each major. Which display should be used to compare counts across the categories?,4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_011,module_1,descriptive_stats,center_spread,extra_context_practice,"A class records commute times after removing a data-entry error, leaving a roughly symmetric distribution. Which pair of summaries is most appropriate?",4,0,,False,False,False,False,False,,audited
module_1_extra_context_practice_012,module_1,descriptive_stats,skewness_outliers,extra_context_practice,"Concert ticket resale prices have a few extremely high prices. In this right-skewed setting, where is the mean usually located relative to the median?",4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_001,module_2,relationships_regression,correlation_facts,extra_context_practice,A scatterplot of practice time and performance has points close to an upward-sloping line. What does this suggest about the association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_002,module_2,relationships_regression,residuals,extra_context_practice,A regression model predicts exam score from study hours. What does a positive residual mean?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_003,module_2,relationships_regression,lurking_variables,extra_context_practice,Students who attend optional review sessions have higher test scores. What do we call a hidden factor that helps explain the observed association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_004,module_2,relationships_regression,lurking_variables,extra_context_practice,Neighborhoods with more parks have higher home prices. What do we call a hidden factor that helps explain the observed association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_005,module_2,relationships_regression,correlation_facts,extra_context_practice,A scatterplot of engine size and fuel economy has points close to a downward-sloping line. What does this suggest about the association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_006,module_2,relationships_regression,residuals,extra_context_practice,A regression model predicts rent from apartment size. What does a positive residual mean?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_007,module_2,relationships_regression,correlation_facts,extra_context_practice,A scatterplot of two quantitative variables forms a strong straight-line pattern. What does this suggest about the association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_008,module_2,relationships_regression,residuals,extra_context_practice,A regression model predicts fuel economy from vehicle weight. What does a positive residual mean?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_009,module_2,relationships_regression,lurking_variables,extra_context_practice,People who buy fitness trackers also report more exercise. What do we call a hidden factor that helps explain the observed association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_010,module_2,relationships_regression,lurking_variables,extra_context_practice,Schools with more tutoring participation also have higher graduation rates. What do we call a hidden factor that helps explain the observed association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_014,module_2,relationships_regression,correlation_facts,extra_context_practice,A study reports a correlation after standardizing both variables. What does this suggest about the association?,4,0,,False,False,False,False,False,,audited
module_2_extra_context_practice_020,module_2,relationships_regression,residuals,extra_context_practice,A regression model predicts salary from years of experience. What does a positive residual mean?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_001,module_3,producing_data,bias,extra_context_practice,An online poll allows anyone who sees the link to respond. What does this kind of biased method tend to produce?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_002,module_3,producing_data,sampling_design,extra_context_practice,A researcher wants to sample students from the registrar list. Which design gives every possible sample of size n the same chance?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_003,module_3,producing_data,sampling_design,extra_context_practice,A city wants to sample households from an address list. Which design gives every possible sample of size n the same chance?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_004,module_3,producing_data,bias,extra_context_practice,A mall interviewer surveys only shoppers who pass one entrance. What does this kind of biased method tend to produce?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_005,module_3,producing_data,experimental_design,extra_context_practice,Researchers compare two study apps by assigning volunteers to one of the apps. What separates this from an observational study?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_006,module_3,producing_data,bias,extra_context_practice,A survey asks a loaded question about a policy. What does this kind of biased method tend to produce?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_007,module_3,producing_data,bias,extra_context_practice,A phone poll excludes people without reliable phone access. What does this kind of biased method tend to produce?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_008,module_3,producing_data,experimental_design,extra_context_practice,A medical trial assigns patients to a new treatment or a placebo. What separates this from an observational study?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_009,module_3,producing_data,experimental_design,extra_context_practice,An education study assigns classrooms to two review methods. What separates this from an observational study?,4,0,,False,False,False,False,False,,audited
module_3_extra_context_practice_011,module_3,producing_data,experimental_design,extra_context_practice,A psychology experiment assigns subjects to different instruction conditions. What separates this from an observational study?,4,0,,False,False,False,False,False,,audited
