question_id,module_id,topic_id,concept_tag,n_options,correct_choice_id,correct_option_text,duplicate_option_text,duplicate_option_id,correct_choice_id_not_in_options,correct_answer_text_not_in_options,issue_count,issues,option_texts
module_8_test_basics_001,module_8,ht_foundations,hypothesis_testing_foundations,4,a,"A claim of no change, no effect, or a specific parameter value",FALSE,FALSE,FALSE,FALSE,0,,"A claim of no change, no effect, or a specific parameter value | The sample size | The margin of error | The probability that the null hypothesis is true"
module_8_test_basics_002,module_8,ht_foundations,hypothesis_testing_foundations,4,c,The direction or kind of evidence the study is looking for,FALSE,FALSE,FALSE,FALSE,0,,The sample size | The margin of error | The direction or kind of evidence the study is looking for | The probability that the null hypothesis is true
module_8_test_basics_003,module_8,ht_foundations,hypothesis_testing_foundations,4,b,"The probability, assuming the null is true, of getting a result at least as extreme as the observed result",FALSE,FALSE,FALSE,FALSE,0,,"The sample size | The probability, assuming the null is true, of getting a result at least as extreme as the observed result | The probability that the null hypothesis is true | The margin of error"
module_8_test_basics_004,module_8,ht_foundations,hypothesis_testing_foundations,4,c,The p-value is small enough compared with alpha to reject the null,FALSE,FALSE,FALSE,FALSE,0,,The margin of error | The sample size | The p-value is small enough compared with alpha to reject the null | The probability that the null hypothesis is true
module_8_test_basics_005,module_8,ht_foundations,hypothesis_testing_foundations,4,d,Reject the null hypothesis,FALSE,FALSE,FALSE,FALSE,0,,The sample size | The margin of error | The probability that the null hypothesis is true | Reject the null hypothesis
module_8_pvalue_visual_001,module_8,ht_foundations,p_value_interpretation,4,c,The p-value or part of the p-value,FALSE,FALSE,FALSE,FALSE,0,,The confidence level | The raw data table | The p-value or part of the p-value | The sample size
module_8_test_details_001,module_8,ht_prop,testing_errors_conditions,4,d,The test standard error under the null hypothesis,FALSE,FALSE,FALSE,FALSE,0,,A graph of categorical data | The margin of error | Accepting a true alternative with certainty | The test standard error under the null hypothesis
module_8_test_details_002,module_8,ht_mean,testing_errors_conditions,4,c,Population mean μ,FALSE,FALSE,FALSE,FALSE,0,,A graph of categorical data | The margin of error | Population mean μ | Accepting a true alternative with certainty
module_8_test_details_003,module_8,ht_mean,testing_errors_conditions,4,c,The parameter is different from the null value in either direction,FALSE,FALSE,FALSE,FALSE,0,,The margin of error | Accepting a true alternative with certainty | The parameter is different from the null value in either direction | A graph of categorical data
module_8_test_details_004,module_8,ht_foundations,testing_errors_conditions,4,c,Rejecting a true null hypothesis,FALSE,FALSE,FALSE,FALSE,0,,A graph of categorical data | The margin of error | Rejecting a true null hypothesis | Accepting a true alternative with certainty
module_8_test_details_005,module_8,ht_foundations,testing_errors_conditions,4,a,Failing to reject a false null hypothesis,FALSE,FALSE,FALSE,FALSE,0,,Failing to reject a false null hypothesis | Accepting a true alternative with certainty | A graph of categorical data | The margin of error
module_9_uses_abuses_001,module_9,uses_abuses_tests,inference_cautions,4,d,Practical significance,FALSE,FALSE,FALSE,FALSE,0,,The p-value is always exactly the effect size | The sample mean is always unbiased | Graphs are never needed | Practical significance
module_9_uses_abuses_002,module_9,uses_abuses_tests,inference_cautions,4,d,Large samples reduce standard errors,FALSE,FALSE,FALSE,FALSE,0,,The sample mean is always unbiased | The p-value is always exactly the effect size | Graphs are never needed | Large samples reduce standard errors
module_9_uses_abuses_003,module_9,uses_abuses_tests,inference_cautions,4,a,We have proven H0 is true,FALSE,FALSE,FALSE,FALSE,0,,We have proven H0 is true | The p-value is always exactly the effect size | Graphs are never needed | The sample mean is always unbiased
module_9_uses_abuses_004,module_9,uses_abuses_tests,inference_cautions,4,c,The formulas and p-values rely on those assumptions being reasonable,FALSE,FALSE,FALSE,FALSE,0,,The sample mean is always unbiased | The p-value is always exactly the effect size | The formulas and p-values rely on those assumptions being reasonable | Graphs are never needed
module_9_uses_abuses_005,module_9,uses_abuses_tests,inference_cautions,4,b,More tests increase the chance of finding at least one false positive,FALSE,FALSE,FALSE,FALSE,0,,Graphs are never needed | More tests increase the chance of finding at least one false positive | The p-value is always exactly the effect size | The sample mean is always unbiased
module_9_boxplot_group_comparison_001,module_9,uses_abuses_tests,comparing_groups,4,a,"They compare center, spread, and outliers across groups",FALSE,FALSE,FALSE,FALSE,0,,"They compare center, spread, and outliers across groups | They prove causation | They calculate the p-value directly | They replace random assignment"
module_9_practice_cautions_001,module_9,uses_abuses_tests,statistical_thinking,4,a,Lurking variables may explain the association,FALSE,FALSE,FALSE,FALSE,0,,Lurking variables may explain the association | The sample size is irrelevant | The null hypothesis becomes true | The p-value disappears
module_9_practice_cautions_002,module_9,uses_abuses_tests,statistical_thinking,4,b,A statement in context about evidence for the alternative,FALSE,FALSE,FALSE,FALSE,0,,The null hypothesis becomes true | A statement in context about evidence for the alternative | The p-value disappears | The sample size is irrelevant
module_9_practice_cautions_003,module_9,uses_abuses_tests,statistical_thinking,4,c,It still works reasonably well when some assumptions are not perfectly met,FALSE,FALSE,FALSE,FALSE,0,,The p-value disappears | The null hypothesis becomes true | It still works reasonably well when some assumptions are not perfectly met | The sample size is irrelevant
module_9_practice_cautions_004,module_9,uses_abuses_tests,statistical_thinking,4,d,"Graphs can reveal outliers, skewness, patterns, or errors",FALSE,FALSE,FALSE,FALSE,0,,"The null hypothesis becomes true | The p-value disappears | The sample size is irrelevant | Graphs can reveal outliers, skewness, patterns, or errors"
module_1_contextual_review_001,module_1,data_graphs,variable_classification,4,c,Categorical,FALSE,FALSE,FALSE,FALSE,0,,Parameter | Statistic | Categorical | Quantitative
module_1_contextual_review_002,module_1,descriptive_stats,resistant_measures,4,c,Median,FALSE,FALSE,FALSE,FALSE,0,,Standard deviation | Range | Median | Mean
module_2_contextual_review_001,module_2,relationships_regression,causation_lurking,4,b,Association does not prove tutoring caused the grades,FALSE,FALSE,FALSE,FALSE,0,,Regression is impossible | Association does not prove tutoring caused the grades | The correlation must be zero | Tutoring hours are categorical
module_3_contextual_review_001,module_3,producing_data,sampling_bias,4,a,Voluntary response bias,FALSE,FALSE,FALSE,FALSE,0,,Voluntary response bias | Matched pairs | Random assignment | Double blinding
module_4_contextual_review_001,module_4,probability_basics,probability_rules,4,b,A and B are disjoint,FALSE,FALSE,FALSE,FALSE,0,,A and B are independent | A and B are disjoint | A causes B | A is a parameter
module_5_contextual_review_001,module_5,normal_dist,z_score_interpretation,4,b,The value is 1.5 standard deviations below the mean,FALSE,FALSE,FALSE,FALSE,0,,The value is 1.5 units above the mean | The value is 1.5 standard deviations below the mean | The sample size is 1.5 | The p-value is 1.5
module_5_contextual_review_002,module_5,binomial_dist,binomial_setting,4,c,Number of successes in a fixed number of independent trials,FALSE,FALSE,FALSE,FALSE,0,,The margin of error | The slope of a regression line | Number of successes in a fixed number of independent trials | The mean of a quantitative distribution
module_6_contextual_review_001,module_6,sampling_dist,parameter_statistic,4,c,A sample statistic,FALSE,FALSE,FALSE,FALSE,0,,A null hypothesis | An outlier | A sample statistic | A population parameter
module_7_contextual_review_001,module_7,ci_prop,confidence_level,4,c,Long-run performance of the interval method,FALSE,FALSE,FALSE,FALSE,0,,The p-value | Probability the sample statistic is random after observing it | Long-run performance of the interval method | Probability this exact interval changes
module_8_contextual_review_001,module_8,ht_foundations,p_value_interpretation,4,b,The observed result would be unusual if H0 were true,FALSE,FALSE,FALSE,FALSE,0,,The alternative is proven | The observed result would be unusual if H0 were true | H0 has high probability of being true | The sample size is too small
module_9_contextual_review_001,module_9,uses_abuses_tests,statistical_vs_practical_significance,4,a,Whether the effect is practically important,FALSE,FALSE,FALSE,FALSE,0,,Whether the effect is practically important | Whether alpha is the sample mean | Whether p is greater than 1 | Whether the graph is categorical
module_1_extra_context_practice_001,module_1,descriptive_stats,center_spread,4,b,Mean and standard deviation,FALSE,FALSE,FALSE,FALSE,0,,Correlation and slope | Mean and standard deviation | p-value and alpha | Median and IQR
module_1_extra_context_practice_002,module_1,descriptive_stats,skewness_outliers,4,a,Farther toward the right tail,FALSE,FALSE,FALSE,FALSE,0,,Farther toward the right tail | Exactly equal to the median | It cannot be compared | Farther toward the left tail
module_1_extra_context_practice_003,module_1,descriptive_stats,skewness_outliers,4,d,Farther toward the right tail,FALSE,FALSE,FALSE,FALSE,0,,It cannot be compared | Exactly equal to the median | Farther toward the left tail | Farther toward the right tail
module_1_extra_context_practice_004,module_1,descriptive_stats,center_spread,4,d,Mean and standard deviation,FALSE,FALSE,FALSE,FALSE,0,,Correlation and slope | p-value and alpha | Median and IQR | Mean and standard deviation
module_1_extra_context_practice_005,module_1,data_graphs,graph_selection,4,a,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Bar chart | Histogram | Time plot | Scatterplot
module_1_extra_context_practice_006,module_1,descriptive_stats,skewness_outliers,4,c,Farther toward the right tail,FALSE,FALSE,FALSE,FALSE,0,,Exactly equal to the median | Farther toward the left tail | Farther toward the right tail | It cannot be compared
module_1_extra_context_practice_007,module_1,data_graphs,graph_selection,4,d,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Scatterplot | Time plot | Histogram | Bar chart
module_1_extra_context_practice_008,module_1,data_graphs,graph_selection,4,b,Bar chart,FALSE,FALSE,FALSE,FALSE,0,,Histogram | Bar chart | Scatterplot | Time plot
module_1_extra_context_practice_009,module_1,descriptive_stats,center_spread,4,a,Mean and standard deviation,FALSE,FALSE,FALSE,FALSE,0,,Mean and standard deviation | Median and IQR | Correlation and slope | p-value and alpha
